read query  1734ticks
run query  175ticks
read query  1733ticks
run query  175ticks
read query  450ticks
run query  181ticks
read query  426ticks
run query  178ticks
read query  450ticks
run query  181ticks
read query  412ticks
run query  179ticks
read query  449ticks
run query  177ticks
read query  414ticks
run query  183ticks
read query  412ticks
run query  178ticks
read query  460ticks
run query  178ticks
read query  450ticks
run query  175ticks
read query  423ticks
run query  183ticks
read query  478ticks
run query  370ticks
read query  476ticks
run query  206ticks
read query  467ticks
run query  185ticks


r1 497ticks
r2 476ticks
r2 452ticks
r2 447ticks
r1 492ticks
r1 458ticks
r3 36ticks
r3 31ticks
r3 33ticks
r4 36ticks
r4 36ticks
r4 35ticks
r4 30ticks
r4 486ticks

captures  101ticks
while remove by one  1067 60ticks
replace  87ticks
captures  98ticks
while remove by one  1065 46ticks
replace  85ticks
replace  10756ticks

read query  66ticks
run query  206ticks
read query  64ticks
run query  162ticks
read query  58ticks
run query  167ticks


 optional filter

read query  57ticks
run query  162ticks
read query  58ticks
run query  159ticks
read query  53ticks
run query  0ticks
read query  7ticks
run query  0ticks

read query  0,3459ms
run query  0,2456ms
read query  0,3574ms
run query  0,227ms
read query  35,6956ms
run query  13,2883ms
read query  0,3867ms
run query  0,3569ms
read query  0,5671ms
run query  0,289ms
read query  0,3977ms
run query  0,2456ms
read query  38,5364ms
run query  13,2692ms
read query  0,3408ms
run query  0,2487ms
read query  0,4066ms
run query  0,2553ms
read query  0,3602ms
run query  0,2286ms
read query  34,9925ms
run query  14,8222ms
read query  0,3301ms
run query  0,3051ms
read query  0,4367ms
run query  0,2337ms
read query  0,3337ms
run query  0,2204ms
read query  33,1098ms
run query  15,5308ms
read query  0,3263ms
run query  0,2242ms
read query  0,3334ms
run query  0,2245ms
read query  0,2862ms
run query  0,2344ms
read query  40,3963ms
run query  14,7799ms
read query  0,3168ms
run query  0,2143ms
read query  0,3071ms
run query  0,2061ms
read query  0,3763ms
run query  0,2791ms
read query  34,4771ms
run query  16,2089ms
read query  2,6141ms
run query  0,2275ms
read query  0,4401ms
run query  0,237ms
read query  0,36ms
run query  0,2661ms
read query  37,4449ms
run query  18,6787ms
read query  0,4031ms
run query  0,2224ms
read query  0,3883ms
run query  0,2209ms
read query  0,6391ms
run query  0,2237ms
read query  50,2334ms
run query  17,2662ms
read query  0,351ms
run query  0,2222ms
read query  2,994ms
run query  0,224ms
read query  0,4444ms
run query  0,2625ms
read query  38,8502ms
run query  14,9692ms
read query  0,4184ms
run query  0,2257ms
read query  0,34ms
run query  0,2518ms
read query  0,351ms
run query  0,2747ms

read query  33,7535ms
run query  16,2362ms
read query  0,4692ms
run query  0,2548ms
read query  0,411ms
run query  0,2849ms
read query  0,3694ms
run query  0,24ms
read query  35,5132ms
run query  14,7528ms
read query  0,3125ms
run query  0,2362ms
read query  0,3559ms
run query  0,2847ms
read query  0,3207ms
run query  0,2673ms
read query  34,2776ms
run query  13,3633ms
read query  0,4495ms
run query  0,2793ms
read query  0,5061ms
run query  0,2982ms
read query  0,4406ms
run query  0,2724ms
read query  31,7754ms
run query  13,3746ms
read query  0,3691ms
run query  0,2671ms
read query  0,4153ms
run query  0,2553ms
read query  0,3536ms
run query  0,2377ms
read query  31,6968ms
run query  13,1791ms
read query  0,3434ms
run query  0,249ms
read query  0,3406ms
run query  0,2673ms
read query  0,349ms
run query  0,2331ms
read query  53,9631ms
run query  14,3918ms
read query  0,3745ms
run query  0,2515ms
read query  0,4314ms
run query  0,2765ms
read query  0,3878ms
run query  0,2916ms
read query  38,471ms
run query  13,1383ms
read query  0,3574ms
run query  0,2612ms
read query  0,3645ms
run query  0,2548ms
read query  0,352ms
run query  0,2403ms
read query  34,4156ms
run query  13,5976ms
read query  0,3569ms
run query  0,3105ms
read query  0,3735ms
run query  0,2543ms
read query  0,3444ms
run query  0,2814ms
read query  35,8275ms
run query  17,3573ms
read query  0,3301ms
run query  0,2372ms
read query  0,3306ms
run query  0,3025ms
read query  0,3977ms
run query  0,2362ms
read query  34,3505ms
run query  15,4762ms
read query  0,3663ms
run query  0,3444ms
read query  0,4176ms
run query  0,2793ms
